#{"t_start": 1684358533.0692818, "env_id": null}
r,l,t
21,21,8568.67781
16,16,8575.965375
12,12,8582.168954
21,21,8588.336364
15,15,8594.868991
15,15,8601.368588
13,13,8607.485635
15,15,8614.452158
16,16,8620.709848
14,14,8627.152644
21,21,8633.271034
15,15,8639.701346
19,19,8647.567585
12,12,8653.709226
11,11,8659.784951
19,19,8665.984395
14,14,8673.384635
13,13,8679.867348
17,17,8686.419992
15,15,8692.575991
17,17,8699.758732
12,12,8706.349397
17,17,8712.841921
15,15,8719.241363
10,10,8725.333035
12,12,8731.919317
15,15,8738.140836
16,16,8744.310335
15,15,8751.457413
14,14,8758.605021
13,13,8764.757181
17,17,8770.857672
16,16,8777.015826
15,15,8784.206539
16,16,8790.448296
21,21,8798.658322
14,14,8804.930608
14,14,8811.347664
15,15,8817.805184
13,13,8823.947618
13,13,8830.04735
14,14,8836.447443
12,12,8842.996285
13,13,8849.188299
14,14,8855.731015
15,15,8862.354356
16,16,8868.474032
13,13,8874.937795
9,9,8881.29844
13,13,8887.737389
14,14,8894.204411
21,21,8901.821254
18,18,8907.895155
13,13,8914.669531
15,15,8921.028594
18,18,8927.244876
14,14,8933.41937
14,14,8939.519937
15,15,8946.045175
21,21,8955.528104
12,12,8962.860475
18,18,8969.002239
17,17,8976.560302
12,12,8982.893438
10,10,8989.202567
14,14,8995.343243
19,19,9002.860083
17,17,9009.042838
13,13,9015.110185
13,13,9021.626864
22,22,9030.059908
17,17,9037.382176
14,14,9043.550054
13,13,9049.741927
12,12,9056.192255
15,15,9062.378904
21,21,9068.89203
17,17,9075.774638
18,18,9082.266148
20,20,9088.357464
20,20,9095.999422
15,15,9102.516577
21,21,9110.074971
16,16,9116.157487
15,15,9122.540732
16,16,9129.492864
12,12,9135.581379
13,13,9142.923194
16,16,9149.131811
25,25,9157.449063
12,12,9163.580623
13,13,9170.082005
12,12,9176.223371
18,18,9182.373078
19,19,9189.644329
34,34,9202.399088
20,20,9208.813521
12,12,9214.90587
14,14,9221.305819
23,23,9229.305627
21,21,9237.02123
27,27,9248.921674
16,16,9255.404467
34,34,9266.212241
33,33,9276.512908
18,18,9283.620504
25,25,9292.406593
19,19,9298.612379
20,20,9304.786341
32,32,9313.738641
22,22,9319.761656
28,28,9328.285718
15,15,9334.819932
13,13,9340.918483
17,17,9347.336633
18,18,9353.443451
19,19,9359.590832
24,24,9368.276983
17,17,9374.826559
28,28,9382.218593
18,18,9388.584546
14,14,9394.734128
16,16,9403.085122
19,19,9409.328709
19,19,9416.725924
16,16,9423.23476
15,15,9429.400741
16,16,9435.884063
16,16,9441.97543
15,15,9448.19116
11,11,9454.516968
16,16,9460.791843
29,29,9470.840943
13,13,9476.940725
